Counter[flat='Квартира №6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №91', number='21968076', date=null, t1=18.218, t2=18.808, t3=21.171, total=58.197]
Counter[flat='Квартира №41', number='21666577', date=null, t1=20.971, t2=11.919, t3=25.443, total=58.333]
Counter[flat='Квартира №8', number='21967610', date=null, t1=19.018, t2=13.661, t3=26.350, total=59.029]
Counter[flat='Квартира №17', number='21968056', date=null, t1=20.516, t2=14.776, t3=25.727, total=61.019]
Counter[flat='Квартира №101', number='21967802', date=null, t1=22.671, t2=17.694, t3=23.265, total=63.630]
Counter[flat='Квартира №107', number='21971375', date=null, t1=13.993, t2=33.312, t3=18.361, total=65.666]
Counter[flat='Квартира №98', number='21967964', date=null, t1=21.626, t2=17.783, t3=27.379, total=66.788]
Counter[flat='Квартира №38', number='21666552', date=null, t1=21.737, t2=17.591, t3=28.904, total=68.232]
Counter[flat='Квартира №54', number='21666917', date=null, t1=20.543, t2=19.510, t3=29.329, total=69.382]
Counter[flat='Квартира №11', number='21949329', date=null, t1=16.039, t2=25.232, t3=28.996, total=70.267]
Counter[flat='Квартира №4', number='21967572', date=null, t1=21.921, t2=20.200, t3=28.360, total=70.481]
Counter[flat='Квартира №143', number='21967509', date=null, t1=22.099, t2=13.785, t3=34.818, total=70.702]
Counter[flat='Квартира №88', number='21967504', date=null, t1=23.489, t2=9.335, t3=38.283, total=71.107]
Counter[flat='Квартира №86', number='21967885', date=null, t1=22.142, t2=16.701, t3=32.369, total=71.212]
Counter[flat='Квартира №71', number='21967505', date=null, t1=20.349, t2=21.676, t3=30.790, total=72.815]
Counter[flat='Квартира №56', number='21968075', date=null, t1=19.172, t2=20.609, t3=33.110, total=72.891]
Counter[flat='Квартира №80', number='21967506', date=null, t1=27.910, t2=20.351, t3=25.066, total=73.327]
Counter[flat='Квартира №93', number='21967981', date=null, t1=23.849, t2=21.723, t3=28.749, total=74.321]
Counter[flat='Квартира №26', number='21666497', date=null, t1=32.033, t2=12.301, t3=30.325, total=74.659]
Counter[flat='Квартира №70', number='21967516', date=null, t1=19.353, t2=26.464, t3=33.605, total=79.422]
Counter[flat='Квартира №110', number='21949389', date=null, t1=23.361, t2=15.593, t3=41.607, total=80.561]
Counter[flat='Квартира №44', number='21967861', date=null, t1=25.544, t2=20.073, t3=34.972, total=80.589]
Counter[flat='Квартира №76', number='21968202', date=null, t1=23.786, t2=21.658, t3=35.658, total=81.102]
Counter[flat='Квартира №21', number='21968025', date=null, t1=31.413, t2=14.910, t3=35.746, total=82.069]
Counter[flat='Квартира №68', number='21967522', date=null, t1=29.653, t2=15.790, t3=37.959, total=83.402]
Counter[flat='Квартира №89', number='21967810', date=null, t1=31.924, t2=20.718, t3=32.291, total=84.933]
Counter[flat='Квартира №23', number='21967854', date=null, t1=32.903, t2=11.928, t3=40.434, total=85.265]
Counter[flat='Квартира №35', number='21948913', date=null, t1=20.584, t2=38.932, t3=25.753, total=85.269]
Counter[flat='Квартира №116', number='21968082', date=null, t1=24.631, t2=23.573, t3=38.284, total=86.488]
Counter[flat='Квартира №103', number='21971417', date=null, t1=33.976, t2=22.241, t3=34.015, total=90.232]
Counter[flat='Квартира №27', number='21666500', date=null, t1=32.873, t2=14.303, t3=47.383, total=94.559]
Counter[flat='Квартира №51', number='21666920', date=null, t1=46.386, t2=18.414, t3=30.657, total=95.457]
Counter[flat='Квартира №3', number='21967585', date=null, t1=39.954, t2=20.762, t3=36.163, total=96.879]
Counter[flat='Квартира №39', number='21666569', date=null, t1=41.944, t2=23.460, t3=32.258, total=97.662]
Counter[flat='Квартира №121', number='21971370', date=null, t1=38.505, t2=18.823, t3=44.757, total=102.085]
Counter[flat='Квартира №24', number='21968031', date=null, t1=40.263, t2=21.972, t3=46.422, total=108.657]
Counter[flat='Квартира №118', number='21971416', date=null, t1=25.331, t2=34.804, t3=49.103, total=109.238]
Counter[flat='Квартира №37', number='21666539', date=null, t1=32.309, t2=36.140, t3=41.347, total=109.796]
Counter[flat='Квартира №129', number='21967906', date=null, t1=38.302, t2=28.692, t3=43.830, total=110.824]
Counter[flat='Квартира №10', number='21967590', date=null, t1=24.022, t2=59.920, t3=27.969, total=111.911]
Counter[flat='Квартира №73', number='21967479', date=null, t1=38.231, t2=22.267, t3=57.334, total=117.832]
Counter[flat='Квартира №22', number='21968052', date=null, t1=52.169, t2=20.713, t3=45.219, total=118.101]
Counter[flat='Квартира №81', number='21967486', date=null, t1=41.117, t2=25.263, t3=52.354, total=118.734]
Counter[flat='Квартира №32', number='21712993', date=null, t1=38.474, t2=24.495, t3=56.852, total=119.821]
Counter[flat='Квартира №15', number='21666510', date=null, t1=38.749, t2=31.963, t3=49.764, total=120.476]
Counter[flat='Квартира №131', number='21968035', date=null, t1=25.542, t2=44.434, t3=52.471, total=122.447]
Counter[flat='Квартира №69', number='21967567', date=null, t1=47.480, t2=21.672, t3=55.775, total=124.927]
Counter[flat='Квартира №2', number='21949330', date=null, t1=42.266, t2=35.341, t3=51.245, total=128.852]
Counter[flat='Квартира №48', number='21968079', date=null, t1=39.931, t2=40.046, t3=51.837, total=131.814]
Counter[flat='Квартира №29', number='21667085', date=null, t1=48.300, t2=27.620, t3=57.974, total=133.894]
Counter[flat='Квартира №92', number='21967967', date=null, t1=43.090, t2=46.133, t3=45.989, total=135.212]
Counter[flat='Квартира №130', number='21967952', date=null, t1=43.773, t2=29.836, t3=62.295, total=135.904]
Counter[flat='Квартира №113', number='21949380', date=null, t1=55.348, t2=37.555, t3=44.052, total=136.955]
Counter[flat='Квартира №142', number='21968032', date=null, t1=52.285, t2=25.072, t3=60.232, total=137.589]
Counter[flat='Квартира №33', number='21948916', date=null, t1=47.726, t2=24.381, t3=67.012, total=139.119]
Counter[flat='Квартира №117', number='21967206', date=null, t1=38.771, t2=38.976, t3=62.014, total=139.761]
Counter[flat='Квартира №58', number='21967732', date=null, t1=56.201, t2=25.288, t3=59.020, total=140.509]
Counter[flat='Квартира №72', number='21967501', date=null, t1=51.103, t2=43.007, t3=46.899, total=141.009]
Counter[flat='Квартира №90', number='21968383', date=null, t1=57.239, t2=25.956, t3=62.169, total=145.364]
Counter[flat='Квартира №137', number='21967213', date=null, t1=44.129, t2=41.865, t3=59.577, total=145.571]
Counter[flat='Квартира №63', number='21968441', date=null, t1=70.548, t2=17.979, t3=59.000, total=147.527]
Counter[flat='Квартира №34', number='21712954', date=null, t1=61.841, t2=26.572, t3=63.057, total=151.470]
Counter[flat='Квартира №84', number='21967477', date=null, t1=45.896, t2=31.431, t3=75.446, total=152.773]
Counter[flat='Квартира №136', number='21967551', date=null, t1=48.663, t2=47.240, t3=58.213, total=154.116]
Counter[flat='Квартира №57', number='21967809', date=null, t1=46.425, t2=51.426, t3=58.422, total=156.273]
Counter[flat='Квартира №104', number='21971388', date=null, t1=64.467, t2=25.677, t3=66.457, total=156.601]
Counter[flat='Квартира №52', number='21666543', date=null, t1=48.903, t2=33.228, t3=80.360, total=162.491]
Counter[flat='Квартира №46', number='21967731', date=null, t1=52.347, t2=41.461, t3=68.962, total=162.770]
Counter[flat='Квартира №79', number='21967555', date=null, t1=57.680, t2=37.266, t3=69.908, total=164.854]
Counter[flat='Квартира №140', number='21967475', date=null, t1=60.488, t2=26.940, t3=78.192, total=165.620]
Counter[flat='Квартира №12', number='21948923', date=null, t1=48.177, t2=52.984, t3=65.567, total=166.728]
Counter[flat='Квартира №42', number='21666910', date=null, t1=69.643, t2=19.596, t3=78.449, total=167.688]
Counter[flat='Квартира №16', number='21666895', date=null, t1=53.206, t2=50.277, t3=67.180, total=170.663]
Counter[flat='Квартира №120', number='21967526', date=null, t1=50.324, t2=39.642, t3=90.331, total=180.297]
Counter[flat='Квартира №132', number='21967848', date=null, t1=73.503, t2=46.659, t3=76.879, total=197.041]
Counter[flat='Квартира №114', number='21949338', date=null, t1=80.664, t2=36.330, t3=85.474, total=202.468]
Counter[flat='Квартира №95', number='21967997', date=null, t1=65.440, t2=40.322, t3=97.202, total=202.964]
Counter[flat='Квартира №123', number='21949395', date=null, t1=99.833, t2=30.828, t3=74.104, total=204.765]
Counter[flat='Квартира №128', number='21968471', date=null, t1=58.739, t2=60.031, t3=86.754, total=205.524]
Counter[flat='Квартира №96', number='21968073', date=null, t1=79.467, t2=40.098, t3=86.081, total=205.646]
Counter[flat='Квартира №112', number='21971429', date=null, t1=84.607, t2=27.239, t3=97.296, total=209.142]
Counter[flat='Квартира №67', number='21967528', date=null, t1=77.285, t2=27.836, t3=104.817, total=209.938]
Counter[flat='Квартира №115', number='21967511', date=null, t1=70.589, t2=46.570, t3=94.158, total=211.317]
Counter[flat='Квартира №82', number='21967513', date=null, t1=76.585, t2=25.031, t3=113.531, total=215.147]
Counter[flat='Квартира №36', number='21712963', date=null, t1=74.866, t2=57.295, t3=83.537, total=215.698]
Counter[flat='Квартира №109', number='21949350', date=null, t1=65.360, t2=71.633, t3=78.725, total=215.718]
Counter[flat='Квартира №59', number='21968016', date=null, t1=74.476, t2=89.063, t3=69.396, total=232.935]
Counter[flat='Квартира №64', number='21968468', date=null, t1=75.654, t2=56.455, t3=101.180, total=233.289]
Counter[flat='Квартира №18', number='21967958', date=null, t1=95.414, t2=38.687, t3=109.208, total=243.309]
Counter[flat='Квартира №13', number='21967904', date=null, t1=87.192, t2=86.898, t3=73.211, total=247.301]
Counter[flat='Квартира №9', number='21948896', date=null, t1=83.920, t2=82.953, t3=98.475, total=265.348]
Counter[flat='Квартира №122', number='21949370', date=null, t1=93.168, t2=53.922, t3=137.656, total=284.746]
Counter[flat='Квартира №125', number='21949344', date=null, t1=99.686, t2=68.115, t3=122.487, total=290.288]
Counter[flat='Квартира №78', number='40628580', date=null, t1=185.195, t2=116.619, t3=0.000, total=301.814]
Counter[flat='Квартира №49', number='21666570', date=null, t1=124.256, t2=79.051, t3=126.977, total=330.284]
Counter[flat='Квартира №144', number='21968041', date=null, t1=88.813, t2=129.590, t3=121.949, total=340.352]
Counter[flat='Квартира №7', number='21712970', date=null, t1=115.996, t2=73.794, t3=156.784, total=346.574]
Counter[flat='Квартира №77', number='21968450', date=null, t1=100.391, t2=130.527, t3=156.963, total=387.881]
Counter[flat='Квартира №74', number='21968454', date=null, t1=116.347, t2=153.128, t3=132.618, total=402.093]
Counter[flat='Квартира №55', number='21967879', date=null, t1=122.525, t2=115.698, t3=186.784, total=425.007]
Counter[flat='Квартира №126', number='21949403', date=null, t1=157.539, t2=99.798, t3=174.348, total=431.685]
Counter[flat='Квартира №134', number='21967568', date=null, t1=134.602, t2=121.547, t3=206.649, total=462.798]
Counter[flat='Квартира №28', number='21666499', date=null, t1=152.134, t2=152.037, t3=163.993, total=468.164]
Counter[flat='Квартира №31', number='21712977', date=null, t1=173.575, t2=127.148, t3=207.351, total=508.074]
Counter[flat='Квартира №61', number='21968453', date=null, t1=218.899, t2=60.058, t3=252.168, total=531.125]
Counter[flat='Квартира №1', number='21666896', date=null, t1=209.627, t2=158.648, t3=326.356, total=694.631]
Counter[flat='Квартира №85', number='21967450', date=null, t1=242.821, t2=202.571, t3=310.226, total=755.618]
Counter[flat='Квартира №25', number='21667083', date=null, t1=271.213, t2=204.118, t3=302.943, total=778.274]
Counter[flat='Квартира №141', number='21967535', date=null, t1=315.648, t2=203.395, t3=460.807, total=979.850]
Counter[flat='Квартира №127', number='21967896', date=null, t1=317.240, t2=302.391, t3=360.708, total=980.339]
